source,target,tweetid,text,retweets,favourites,includesimage
Marla Miller,MarlaAtUmass,1420300252,"Next up, Kingary-Schwartz is describing how conservation techniques contribute to analysis. It_éìs $$ but can be worth it.  #aha2015 #CVWH4",0,1,FALSE
Lora Vogt,LoraVogt,1420300259,Tim @Gilder_Lehrman putting us to work analyzing primary sources in #WWI Food workshop. Pick up a free GL Food #WWI poster #AHA2015,0,0,FALSE
Kidada E. Williams,KidadaEWilliams,1420300261,"Debats #AHA2015 #s102: mapping population reveals where free blacks lived in Alexandria, in lowest elevation of city, subject to flooding.",1,0,FALSE
Kalani Craig,kalanicraig,1420300263,.@urbanhumanist Link for coding-schema Web app: http://www.kalanicraig.com/In_Class/Dhuoda/™__éÙ (dataviz needs 1 check in each cat.; I coded it fast!) #aha2015 #s95,0,2,FALSE
Trip Kirkpatrick,triplingual,1420300269,#s102 #AHA2015 Enslaved people (if assumed to be living with owners) in 2nd highest elevation.,0,0,FALSE
History of Science,hssonline,1420300285,Kristina Buhrman is giving a great talk on an astronomical text from pre-modern Japan and insights into how it was compiled at #AHA2015 #hss,1,3,FALSE
Geneva Smith,GenevaSmith19,1420300291,"Roger chartier asks ""must a historian intervene in public discourse because of his/her experience?"" #AHA2015 #historianaspublicintellectual",0,1,FALSE
Heather Munro Presco,hmprescott,1420300295,#s99 how much of history writing process do you share with the public  #aha2015,0,0,FALSE
Carly Silver,CarlyASilver,1420300301,.@mediciproject has four to five million letters. 1.5 miles of shelf space #aha2015 #twitterstorians,0,0,FALSE
Claire Potter,TenuredRadical,1420300308,@julianzelizer will not be joining us for #AHA2015 panel: we will miss you buddy! Thanks for organizing #AHA2015,0,0,FALSE
MDI History,MDIhistory,1420300310,"Curious about the infernal? SRO for ""Far From Heaven: Perspectives on Hell Through the Ages."" #AHA2015 #gsdh",0,0,FALSE
Vanessa Varin,VLVarin,1420300311,Next up: @ProfessMoravec: #s99 #AHA2015 pic.twitter.com/MeupkQNMTr,0,1,TRUE
Adeline Koh,adelinekoh,1420300326,#AHA2015 #s99 Now up: @ProfessMoravec. now speaking about the many pained narratives of peer review.,0,2,FALSE
Trip Kirkpatrick,triplingual,1420300327,"#s102 #AHA2015 % of adults who owned slave small, but % of voting population who did much larger.",0,0,FALSE
Micki Kaufman,MickiKaufman,1420300332,"#s102 #aha2015 Don Debats correlates elevation, race, religious affiliation, enslaved/free status using kernel density estimation.",2,1,FALSE
Benjamin Park,BenjaminEPark,1420300344,"Hazard: in Modern's secularism, there are few actual realities that ground experience. It is discourse all the way up. #AHA2015",0,1,FALSE
Rob Gee,robgee18,1420300347,Georgini wonders when writing in public just how much do you share. An example of how blogging rewires the craft. #AHA2015 #s99,1,0,FALSE
Seth Denbo,seth_denbo,1420300357,Packed house for digital pedagogy lightning round #aha2015 s#95,2,1,FALSE
Rachel Herrmann,Raherrmann,1420300358,".@ProfessMoravec now speaking on her ""writing in public"" work, which has the potential to transform the peer review process #AHA2015",2,4,FALSE
Jeff McClurken,jmcclurken,1420300366,@urbanhumanist My #AHA2015 #s95 links for my Lightning Talk on #DomainofOne_éìsOwn  http://mcclurken.org/presentations/aha15/™__éÙ,0,1,TRUE
Mitch Fraas,MitchFraas,1420300377,"In Alexandria, VA c.1850, 6% of residents own slaves but represented 20% of voters. #AHA2015 #s99",1,1,FALSE
Dr. Logorrhea,Cliodectomy,1420300380,Not sure all the coffee in the world will keep me awake during panels #298-303 at #AHA2015,0,0,FALSE
Anne Whisnant,amwhisnant,1420300386,.@urbanhumanist my sites are http://projects.dhpress.org/unbuiltparkway/™_ and http://blueridgeparks.web.unc.edu/™_ #aha2015,0,0,FALSE
Trip Kirkpatrick,triplingual,1420300389,"#s102 #AHA2015 %44 of Alexandria blocks unoccupied. Which ones those are matters, too.",1,0,FALSE
Adeline Koh,adelinekoh,1420300391,"#AHA2015 #s99 @ProfessMoravec: will never forget the biting blind peer review report ""has made an interesting subject boring.""",1,1,FALSE
Kalani Craig,kalanicraig,1420300411,.@JohnRosinbum reminds us to remind our students that they need to look for gaps in data during dataviz analysis. #AHA2015 #s95,1,2,FALSE
Rachel Herrmann,Raherrmann,1420300430,.@ProfessMoravec differentiates from her tweets to her blog to her book by changing the tone in each medium #AHA2015,1,0,FALSE
Will Walker,willcooperstown,1420300443,"@ProfessMoravec inspired by 70s feminists when began ""writing in public"" #AHA2015",2,0,FALSE
Adeline Koh,adelinekoh,1420300449,"#AHA2015 #s99 @ProfessMoravec speaking on her writing in public project, where she shows all drafts, including blog posts and tweets.",3,6,FALSE
Lucy,singingscholar,1420300460,Sarah Hodges suggests historians can productively point out to public health professionals the instability of problems. #histmed #AHA2015,0,0,FALSE
Kathryn Falvo,krosefalvo,1420300460,The clinical gaze causes us to lose track of the fact that medicine is part of a broader culture and environment. #AHA2015 #s100,0,0,FALSE
NYFarmer,NYFarmer,1420300467,American Historical Assn has huge conference going on. Follow #aha2015,1,1,FALSE
Stephanie A Kingsley,KingsleySteph,1420300482,"Got really excited about #AHA2015 @SHARPorg session ""Practice of Book History"" & wrote a blog post about it: read at http://bit.ly/1ApKVui™_",8,4,FALSE
Scott Moranda,dienstmann75,1420300490,"#tuning as way for historians to take ownership of assessment and explain to admin, parents, and students what history is #AHA2015 #s96",0,1,FALSE
Heather Munro Presco,hmprescott,1420300496,"#s99 Writing in Public described as an ""extreme sport"" #aha2015",0,0,FALSE
Trip Kirkpatrick,triplingual,1420300503,#s102 #AHA2015 Combination of multiple demographics of enslaved people show that most of city was part of slavery.,1,2,FALSE
Devin M-T,devinmzt,1420300515,#AHA2015 tweetstream tough to follow. Need to use more specific hashtags for different sessions.,0,0,FALSE
Carly Silver,CarlyASilver,1420300520,@mediciproject covers diplomatic history from all over. These guys look familiar. #AHA2015 #twitterstorians pic.twitter.com/iofXXwXxOp,0,0,TRUE
Mark Tebeau,urbanhumanist,1420300529,#s95 Lightning Digital Pedagogy reveals multiple approaches to the digital. #AHA2015,3,1,FALSE
William Nelligan,williamnelligan,1420300530,Great to talk with #AHA2015 attendees and imagine new ways to use @HistoryGeniuses in and out of the classroom. Stop by the booth!,0,0,FALSE
Benjamin Park,BenjaminEPark,1420300538,Kaloyanides: one thing held in common by Noll and Modern is an Evangelical consensus. #AHA2015,0,2,FALSE
Kidada E. Williams,KidadaEWilliams,1420300547,"Debats #AHA2015 #s102: census data allows them to look at enslaved people on individual level, where the live, how much property they own.",1,0,FALSE
Carolyn Twomey,Carolyngian,1420300548,#AHA2015 #SMFS4 Could not find the panel I was looking for #Sheraton but popped into Gender & Crime for three great papers,0,0,FALSE
Shane Landrum,cliotropic,1420300561,"At #s95 #AHA2015, @erin_bartram_éìs idea reminds me a lot of the thing @YAppelbaum & I did for secondary sources:  http://bit.ly/1kLGIpP™_",0,0,TRUE
Mark Tebeau,urbanhumanist,1420300562,"Tweet your favorite digital teaching pedagogies tools to #95 #aha2015, we_éìll add to the comment of the lightning round.",1,0,FALSE
Brian Sarnacki,briansarnacki,1420300565,A reminder for #twitterstorians at #aha2015 to please fill out a short survey saying how much it is costing  https://docs.google.com/forms/d/1m3Kwjjq9sbn6cKnK4evEXFACv1WGG2zdfesWiuP0tDc/viewform™__éÙ,0,3,TRUE
Andrew McGregor,admcgregor85,1420300569,Enjoying these #AHA2015 tweets while waiting in the cellphone lot to pick up @CastroHistorian in Indianapolis,0,0,FALSE
Jesse Stommel,Jessifer,1420300588,Low-fi hand-written notes at #digped lightning talk. Reminds that digital pedagogy isn't predicated on use of digital tools. #AHA2015 #s95,5,13,FALSE
Scott Moranda,dienstmann75,1420300608,#tuning began as part of European integration of higher ed #AHA2015 #s96,0,0,FALSE
Susan Ferentinos,HistorySue,1420300616,"RT @sharon_howard: If you're following #aha2015, it's being archived here: http://thebroadside.org/tw-archives/index.php?archive=AHA2015™__éÙ #twitterstorians",2,3,FALSE
susan garfinkel,footnotesrising,1420300627,digital pedagogy session is standing room only. lots of folks from the dh twitter community here in person. #AHA2015,2,3,FALSE
Mark Tebeau,urbanhumanist,1420300627,Tweet your favorite digital pedagogy ideas to #s95 #AHA2015; we_éìll add to the mix,6,0,FALSE
Adeline Koh,adelinekoh,1420300631,"#AHA2015 #s99 @ProfessMoravec discusses her Subjecting History project, which had both open and blind peer review+",2,3,FALSE
AHA,AHAhistorians,1420300632,"RT @KingsleySteph: #AHA2015 @SHARPorg ""Practice of Book History_éó at 2:30 today; read more at http://bit.ly/1ApKVui™_",6,2,FALSE
IU History (B'ton),IUBHistory,1420300646,#FF @IUBHistory #twitterstorians (students/alum/faculty) livetweeting from #AHA2015! @Doctor_Corb @kalanicraig @SusanEckelmann @JasonPMcGraw,3,3,FALSE
Kris Shaffer,krisshaffer,1420300656,@Jessifer Using your digits! #AHA2015 #s95,0,0,TRUE
Marla Miller,MarlaAtUmass,1420300660,Now learning about (beautiful) x-stitched chair cushions made by Martha Washington.  http://ow.ly/GJRH6™_ #aha2015 #CVWH4,1,2,FALSE
Lucy,singingscholar,1420300664,"Sarah Hodges: history turns up connections btwn health, care, environment, can help evaluate rationales of medical practice. #AHA2015",0,0,FALSE
Adeline Koh,adelinekoh,1420300672,"#AHA2015 #s99 @ProfessMoravec +results were the same from both types of review, but public review was more energetic and helpful",1,2,FALSE
Kalani Craig,kalanicraig,1420300699,.@abbymullen describing workshop on teaching digital methods to military historians: learn how to ask the right questions! #AHA2015 #s95,1,0,FALSE
Jesse Stommel,Jessifer,1420300699,"On teaching digital methods: ""Help people learn how to ask the right questions."" #AHA2015 #s95 @abbymullen",13,9,FALSE
Trip Kirkpatrick,triplingual,1420300725,#s102 #AHA2015 Related project: Using viz to look at post-Emancipation voting patterns in viva voce voting in KY.,0,0,FALSE
RandomHouse Academic,RHacademic,1420300727,We have @melvillehouse's #TortureReport. #AHA2015 pic.twitter.com/AShGzp0l4S,0,6,TRUE
Claire Potter,TenuredRadical,1420300736,Breaking news: @julianzelizer fans should know he may be at our #AHA2015 panel @2:30 after all,0,0,TRUE
Kidada E. Williams,KidadaEWilliams,1420300752,Debats #AHA2015 #s102: census research on individual level allows them to track African Americans from enslavement to freedom in the city.,0,0,FALSE
Micki Kaufman,MickiKaufman,1420300763,#s102 #aha2015 viva voce pollbooks to track suffrage vote by emancipated Blacks. Core city dwellers surprisingly vote w/less continuity.,1,0,FALSE
Denise D. Meringolo,DDMeringolo,1420300772,DeBats demonstrates how to search database information to arrive at new understandings of enslaved people's lives. @VAHumanities #AHA2015,0,1,FALSE
Jason McGraw,JasonPMcGraw,1420300774,Go Hoosiers at #AHA2015! #FF @IUBHistory @Doctor_Corb @kalanicraig @SusanEckelmann @mimoyd1 @CaraCaddoo #twitterstorians,4,3,FALSE
Adeline Koh,adelinekoh,1420300780,"#AHA2015 #s99 @ProfessMoravec In contrast to blind peer review, tremendously satisfying to engage with a reviewer in real time",6,2,FALSE
Great PlateMigration,PlateMigration,1420300789,Using linguistic tools to develop Gullah Geechee culture #AHA2015 #,0,1,FALSE
Jeri Wieringa,jeriwieringa,1420300791,@abbymullen: primary goal in teaching digital methods is teaching how to ask questions #AHA2015,1,4,FALSE
Womens History Sites,ncwhs,1420300799,RT @adelinekoh: Now at @ProfessMoravec session blogging and the future of scholarship #aha2015 http://aha.confex.com/aha/2015/webpr™__éÙ,0,1,FALSE
Marla Miller,MarlaAtUmass,1420300799,All these folks talking about history & STEM should spend time listening 2 conservators talk about their work. Fascinating.  #aha2015 #CCWH4,3,3,FALSE
Trip Kirkpatrick,triplingual,1420300802,#s102 #AHA2015 Both during slavery and post-Emancipation we can show things we never could with purely written work.,0,0,FALSE
Anelise H Shrout,AneliseHShrout,1420300812,"#s102 #aha2015 -Debats: we can learn more using digitization, data visualization and analysis than we ever could with written records!",0,0,FALSE
Harvard Press,Harvard_Press,1420300813,"2015 is off and running. We're at #ASSA2015 in Boston, #AHA2015 in New York, and #AALS2015 in DC. Pick a meeting and say hi.",7,1,FALSE
Trip Kirkpatrick,triplingual,1420300817,#s102 #AHA2015 Demonstration of social logic of voting possible.,0,0,FALSE
Kathryn Tomasek,KathrynTomasek,1420300824,@briansarnacki I hope you are sharing data with @ErnestoPriego who did similar survey for #DH2014. #twitterstorians #AHA2015,0,0,TRUE
carol chiodo,digitaldante,1420300824,#aha2015 #s92 pointed remarks from Roger Chartier on historians as public intellectuals,0,0,FALSE
Carly Silver,CarlyASilver,1420300834,Now Piergabriele Mancuso on the Jews in the @mediciproject archives. #AHA2015 #twitterstorians,0,0,FALSE
Micki Kaufman,MickiKaufman,1420300840,#s102 #aha2015 surfacing the voting logic of Black voters (men) using digitization and visualization,0,0,FALSE
Peter Carr Jones,petercarrjones,1420300863,Shout out to @ReclaimHosting by @ProfessMoravec at the Historical blogging session #AHA2015.,0,3,FALSE
Erin Bartram,erin_bartram,1420300869,"@abbymullen sums up the feeling in the room: ""Do that!"" #AHA2015 #s95",0,1,FALSE
Rachel Herrmann,Raherrmann,1420300873,.@ProfessMoravec does not -think- writing in public has hurt her publishing chances. Still thinking abt how to engage rdrs #s99 #AHA2015,0,2,FALSE
Monica L. Mercado,monicalmercado,1420300881,"Writing in public is work - @ProfessMoravec has to create the review conversation, encourage it, migrate it between platforms #aha2015 #s99",0,2,FALSE
Jason Steinhauer,JasonSteinhauer,1420300882,"My take: in today's media landscape there's a rise of ""public"" and a decline of ""intellectual."" Creates a tension for historians. #AHA2015",3,1,FALSE
History of Science,hssonline,1420300882,Ian Hesketh from Queensland is introducing us to travel writer and anthropologist Winwood Reade & his Darwinian epic at #AHA2015 #hss,2,1,FALSE
Trip Kirkpatrick,triplingual,1420300902,#s102 #AHA2015 Now: ,,,
Marla Miller,MarlaAtUmass,1420300904,@MarieGossip 'Tis! Great to see this at #aha2015.,0,0,TRUE
Trip Kirkpatrick,triplingual,1420300906,#s102 #AHA2015  The Queering Slavery Working Group and Digital Histories of Slavery_éó https://aha.confex.com/aha/2015/webprogram/Paper17554.html™__éÙ,0,0,FALSE
Adeline Koh,adelinekoh,1420300909,#AHA2015 #s99 @ProfessMoravec Writing in public helps to alleviate imposter syndrome by revealing how messy the writing process is,9,17,FALSE
Carolyn Twomey,Carolyngian,1420300916,"#AHA2015 Holt not saying rape never happened #medieval crusades but that its not talked about, source shame or holy crusading vow? #SMFS4",0,0,FALSE
Ebony Jones,ebony__pearl,1420300920,census data at individual level used to better understand the ambiguous status of enslaved & free. Debats #AHA2015 #s102,0,2,FALSE
Vanessa Varin,VLVarin,1420300922,Moravec: you can still write imperfectly in the public and have success in academia @ProfessMoravec #s99 #AHA2015,0,3,FALSE
Great PlateMigration,PlateMigration,1420300923,"So we're ""rethinking the history of Gullah Geechee"".. #AHA2015 #greatmigration",0,0,FALSE
Robin Morris,ProRoMo,1420300925,"Hey #AHA2015 when you are panel-saturated, MoMA is half off with your badge. Lots of inspiration for teaching, research, and living!",0,2,FALSE
Kalani Craig,kalanicraig,1420300931,"Digital tools as a way to break the fear-of-discussion barrier. --Robert Jordan, CSU #AHA2015 #s95",3,4,FALSE
Denise D. Meringolo,DDMeringolo,1420300951,Vanessa Holden and Jessica Johnson presenting on work of queering slavery working group at Michigan State #AHA2015,0,0,FALSE
dbcthesis,dbcthesis2002,1420300953,"@jmjafrx with Vanessa Holden, ""Taste the Sweat to Check for Sickness,"" QSWG, #AHA2015",1,0,FALSE
Anelise H Shrout,AneliseHShrout,1420300953,#s102 #aha2015: Beautiful projects showcased here but lots of data required to make them work. Looking forward to hearing more abt logistics,1,3,FALSE
Benjamin Park,BenjaminEPark,1420300957,"Logan: what happens when religious historian engage republicanism, rather than take it for granted? #AHA2015",0,1,FALSE
Monica L. Mercado,monicalmercado,1420300959,".@ProfessMoravec: writing in public prioritizes a collaboration between writer & readers, pushes it earlier in the pub process #AHA2015 #s99",3,2,FALSE
Michelle Visco Lewis,ViscoLewis,1420300960,Available online to the public thanks to the Medici Archive Project #AHA2015  #s111 pic.twitter.com/c7IYXZrRzh,0,2,TRUE
Becky Erbelding,bec2933,1420300966,".@ProfessMoravec argues  public writing can help combat ""impostor syndrome."" Shows that everyone's initial writing is messy. #s99 #AHA2015",4,0,FALSE
Carly Silver,CarlyASilver,1420300972,The @mediciproject archives tells us that Jews were in Venice earlier than thought. One was a doctor! #AHA2015 #twitterstorians,0,0,FALSE
Kidada E. Williams,KidadaEWilliams,1420300975,.@jmjafrx @drvholden #AHA2015 #s102: discussing @queeringslavery working group. What would it look like to queer slavery?,2,1,FALSE
Micki Kaufman,MickiKaufman,1420300980,@VLVarin #s102 #aha2015  @ProfessMoravec,0,0,TRUE
Rob Gee,robgee18,1420300984,".@ProfessMoravec : All academic writing is collaborative, writing in public merely prioritizes that collaboration. Nicely put. #AHA2015 #s99",3,2,FALSE
dbcthesis,dbcthesis2002,1420300986,What would it mean to queer slavery? #AHA2015,2,0,FALSE
Great PlateMigration,PlateMigration,1420300994,Limited access to colonial vernacular #creolelanguage #gullah #geechee #sc #AHA2015,0,0,FALSE
Trip Kirkpatrick,triplingual,1420301010,#s102 #AHA2015 Core: What would it mean to queer slavery? Addressing multiple perspectives and theoretical approaches.,0,0,FALSE
Heather Munro Presco,hmprescott,1420301013,Key lesson of writing in public - you can be less than perfect in public & still succeed in academia #s99 #AHA2015,6,5,FALSE
Kate H. Moore,HistoricallyUs,1420301022,Writing in public helps relieve other academics' struggles with impostor syndrome by exposing process @ProfessMoravec  #AHA2015,5,7,FALSE
Denise D. Meringolo,DDMeringolo,1420301030,Holden:  what would it look like to queer slavery? Interesting combination of theories and methodologies #AHA2015,0,0,FALSE
Carolyn Twomey,Carolyngian,1420301037,"#AHA2015 #SMFS4 Vann Sprecher black market priests in Paris, masspriests as laborers supplementing income with discount unlicensed baptisms",1,1,FALSE
Monica L. Mercado,monicalmercado,1420301038,".@jonathandirk begins by suggesting we might talk during Q&A about the ""forms of vulnerability"" presented by writing in public #AHA2015 #s99",0,1,FALSE
Shane Landrum,cliotropic,1420301051,@amwhisnant @monicalmercado Robert Jordan of Colo State U is doing local history in his survey; students love it #s95 #AHA2015,1,2,FALSE
Judith Weisenfeld,JLWeisenfeld,1420301056,"@JLWeisenfeld: Great presentation by Michele Hilmes on (thought lost) Langston Hughes radio drama, The Man Who Went to War. #aha2015 #s105",0,0,FALSE
Kalani Craig,kalanicraig,1420301061,Digital tools to break the barrier between classroom and sharing work from the classroom with others. --Robert Jordan #AHA2015 #s95,2,0,FALSE
Adjunct Action,AdjunctAction,1420301063,"#Adjuncts, grads and other faculty hope to see you tonight at #AHA2015 for reception Hilton Concourse D 6:30",2,0,FALSE
Seth Denbo,seth_denbo,1420301067,Great idea & let us know MT @cliotropic If you're following #AHA2015 remotely you can say thanks by making a storify & tweeting the link.,2,1,FALSE
Kathryn Falvo,krosefalvo,1420301067,"Global health is a ""behemoth"" at present - and historians are increasingly being asked to engage it. #AHA2015 #s100",0,0,FALSE
Sarah Zarrow,DeviantReader,1420301072,"Digital natives more or less a myth--R. Jordan, Col State U #AHA2015 #s95",4,0,FALSE
Trip Kirkpatrick,triplingual,1420301074,#s102 #AHA2015 Building a Hybrid Digital Humanities Project: From Utility to Digital Humanist Practice,1,0,FALSE
Carolyn Twomey,Carolyngian,1420301096,"#AHA2015 #SMFS4 some priests owned taverns, traded sheep, extracted teeth in churchyards, looking for more work",0,0,FALSE
Trip Kirkpatrick,triplingual,1420301112,#s102 #AHA2015 Acking progenitors and influencers.,0,0,FALSE
Carly Silver,CarlyASilver,1420301119,"The Jews, including one ancient coin seller, had some personal ties to the Medici grand dukes. #AHA2015 #twitterstorians",0,1,FALSE
Sarah Zarrow,DeviantReader,1420301131,"Students will show friends/fam dig project much more often than a paper.--R. Jordan, Col State U #AHA2015 #s95",2,0,FALSE
Ohio Univ. Press,OhioUnivPress,1420301140,#AHA2015: Klein Prize winners Allen & Barbara Isaacman with Martin & Suzanne Klein! http://ohioswallow.com/book/Dams%2C+Displacement%2C+and+the+Delusion+of+Development™__éÙ pic.twitter.com/QFjx9jvhjr,0,0,TRUE
Michelle Visco Lewis,ViscoLewis,1420301146,Online Paleography courses offered via the Medici Archive Project #AHA2015,1,0,FALSE
Trip Kirkpatrick,triplingual,1420301148,"#s102 #AHA2015 Nothing specifically on how Queer Studies could work in slavery, though, hence this project.",0,1,FALSE
Claire Potter,TenuredRadical,1420301157,Listening to a marvelous presentation by  Partha Chatterjee on the importance of historians to public debates in India 1/2 #AHA2015,3,1,FALSE
Kathryn Tomasek,KathrynTomasek,1420301181,Tweets are reminder that I really wanted to hear @ProfessMoravec paper this morning. #AHA2015,1,2,FALSE
Carly Silver,CarlyASilver,1420301182,The Jews' international connections made them invaluable allies for the Medici. #AHA2015 #twitterstorians,0,0,TRUE
Eric LaForest,Eric_LaForest,1420301185,"So...umm...would @Ed_Baptist be interested in having an AP US History class join his ""Freedom on the Move"" project? #AHA2015 #s102",0,1,FALSE
Roxanne Shirazi,RoxanneShirazi,1420301188,Benefits to writing in public mirror what I enjoy about coauthoring. Public becomes collaborator for a single-authored work. #s99 #aha2015,0,0,FALSE
Becky Erbelding,bec2933,1420301193,"Excited for AHA ten years from now, when the focus is content, with the digital project just part of the process. Let's do it, guys #aha2015",6,6,FALSE
Seth Denbo,seth_denbo,1420301200,It would be really helpful if you #twitterstorians folks would slow down.  I can't keep up. #aha2015,2,5,FALSE
Carolyn Twomey,Carolyngian,1420301203,"#AHA2015 #SMFS4 lay people fed black market risk reprisals by having priest preferences (feuds, holy reputations) who might over/undercharge",0,0,FALSE
Christian James,cscottjames,1420301210,Viva Voce site shows centrality of slavery but also at individual level can complicate race and status in certain cases #aha2015 #s102,0,1,FALSE
Mitch Fraas,MitchFraas,1420301230,For more on the Queering Slavery Working Group at MSU (presenting now at #AHA2015 #s99) see their great tumblr: http://qswg.tumblr.com/™_,0,7,TRUE
Kidada E. Williams,KidadaEWilliams,1420301231,". @jmjafrx #AHA2015 #s102: use queer & QOC studies to ex sexual labor & intimacies, sex & kinship, sexualities re slavery across diaspora.",2,0,FALSE
Jeri Wieringa,jeriwieringa,1420301250,"_é£@DeviantReader: Students will show friends/fam dig project much more often than a paper."" @rjordan_csu #AHA2015 #s95",0,2,TRUE
Claire Potter,TenuredRadical,1420301251,Particularly the conversion of cultural/ideological politics into questions of research & methodology 2/2 #AHA2015,1,0,FALSE
carol chiodo,digitaldante,1420301261,#s92 #aha2015 P. Chaterjee provides fascinating perspective on the practice of history in the public sphere in India,1,0,FALSE
Farina King,FarinaKing,1420301272,"History is the politically hottest subject- Ann K. Isaacs, session 96 #AHA2015 #AHATuning",0,2,FALSE
Trip Kirkpatrick,triplingual,1420301289,"#s102 #AHA2015 Why digital? Already a conversation happening online: Tumblr, Twitter, Fb.",0,2,FALSE
Denise D. Meringolo,DDMeringolo,1420301292,Holden and Johnson built a hybrid digital humanities project because it was a way to connect with activism already online #AHA2015,0,1,FALSE
Anelise H Shrout,AneliseHShrout,1420301297,.@jmjafrx using digital methods + networks (already a venue for politics) to queer the history of slavery. #s102 #AHA2015,4,3,FALSE
Lucy,singingscholar,1420301299,Julie Livingston describes global public health as fetish of N. American/European academe/medicine. #AHA2015 #s100,1,0,FALSE
Carolyn Twomey,Carolyngian,1420301301,#AHA2015 #SMFS4 Miller on gendered worlds of the male university & female lay religious community overlap in burning of Beguine Marguerite,0,0,FALSE
Trip Kirkpatrick,triplingual,1420301333,"#s102 #AHA2015 [I think I_éìm learning too much to tweet effectively, but I_éìll try.]",0,6,FALSE
Benjamin Park,BenjaminEPark,1420301337,.@Popapologist neither Modern or Noll give convincing origin stories for the republican-Protestant synthesis. #AHA2015,0,1,FALSE
Stephanie Richmond,profrichmond,1420301350,Importance of gradual emancipation is overlooked in antislavery history #AHA2015 #s117,1,0,FALSE
Laura Davulis,Davulis,1420301357,And then there were books. #AHA2015 pic.twitter.com/rAVk3z3gtN,0,2,TRUE
Kalani Craig,kalanicraig,1420301377,.@HistoryHarvest and its history-is-in-our-households makes an appearance courtesy of Patrick Jones #AHA2015 #s95,0,1,FALSE
Claire Potter,TenuredRadical,1420301379,Exposure to public debate pushes historians to reexamine their assumptions: Chatterjee #AHA2015,5,3,FALSE
Hamish,peregrinekiwi,1420301380,Lots of focus on students creating something permanent and public as part of the learning process. #s95 #AHA2015,0,1,FALSE
Trip Kirkpatrick,triplingual,1420301389,#s102 #AHA2015 Preso title comes from actual practice of slavers licking Africans_éì face to check for sickness.,0,0,FALSE
dbcthesis,dbcthesis2002,1420301395,Tumblr was a space where queering slavery and the history of slavery was already happening.-- @jmjafrx #AHA2015,7,7,FALSE
Marla Miller,MarlaAtUmass,1420301396,"Next up, @Katie_C_Knowles_éì on using archival sources to do #materialculture--sans slides, to give the _é£full effect._éó Smart. #aha2015 #CCWH4",0,3,FALSE
Denise D. Meringolo,DDMeringolo,1420301403,". @Burning_Up_ they are connecting queer studies, critical sexuality studies, to study of slavery to arrive at new interpretations. #AHA2015",0,0,TRUE
Anne Whisnant,amwhisnant,1420301408,"Cool, I'm finally glimpsing @cliotropic IRL on MOOCs! Presenting #s95 #aha2015",0,1,FALSE
Benjamin Park,BenjaminEPark,1420301415,".@Popapologist when can we take the republican-Protestant synthesis for granted, and when must it be engaged? #aha2015",0,2,FALSE
Kate Mazza,mazza_kate,1420301420,Great conference on American Dispositions; #98  #aha2015.  #twitterstorians.  Release of new sources in archives.,0,1,FALSE
Trip Kirkpatrick,triplingual,1420301421,"#s102 #AHA2015 Ubiquity of queer images, both in same-sex sexuality and in older sense of word.",0,0,FALSE
Lucy,singingscholar,1420301445,"Julie Livingston: global public health discourse has roots in ""civilizing mission."" History can contextualize high stakes problems. #AHA2015",0,0,FALSE
History Enthusiast,hist_enthusiast,1420301454,"Have been following #AHA2015 all morning, and it looks like there are some truly great panels! #Twitterstorians",0,5,FALSE
Trip Kirkpatrick,triplingual,1420301456,"#s102 #AHA2015 Sites: http://qswg.org™_ , http://qswg.tumblr.org™_",0,0,FALSE
Claire Potter,TenuredRadical,1420301468,"Ellen Fitzpatrick: there is a long past of historians serving as public intellectuals, beginning with AHA founders #AHA2015",0,2,FALSE
Kidada E. Williams,KidadaEWilliams,1420301481,. @drvholden #AHA2015 #s102: discusses queering slavery not only in terms of same sex practice but also practices outside the 'norm.',0,1,FALSE
Trip Kirkpatrick,triplingual,1420301487,#s102 #AHA2015 Trying to keep academy working group accountable to authentic communities.,0,0,FALSE
J.M. Wasko,jmwasko,1420301493,"Now in ""Living Dead, Microscopic Fibers, Invisible Cloaks, and Radical Cartoons: Methods of Textile Studies for Historians"" #AHA2015 #CCWH4",0,1,FALSE
Christian James,cscottjames,1420301503,"Panelists: don't rule out Tumblr to host your digital history. Reaches audience, allows you to show your work. #aha2015 #s102",4,4,FALSE
Kalani Craig,kalanicraig,1420301514,.@cliotropic on managing pedagogy via digital peer review in a pseudo-massive online course. #AHA2015 #s95,2,1,FALSE
Trip Kirkpatrick,triplingual,1420301522,#s102 #AHA2015 Tumblr allows showing work in way that Fb or Twitter wouldn_éìt. Xferring citation style non-trivial.,0,1,FALSE
Marla Miller,MarlaAtUmass,1420301529,Knowles_éì work is on imp of clothing in history of #slavery but few examples survive. She has found about 30. #aha2015 #CCWH4,0,1,FALSE
History of Science,hssonline,1420301529,"Reade's The Martyrdom of Man shaped by Darwin correspondence in 1860s&70s, but also led him to competing theories - Hesketh at #AHA2015 #hss",2,2,FALSE
Stephanie Richmond,profrichmond,1420301530,Difference between states is important to understand antislavery politics #AHA2015 #s117,0,1,FALSE
Claire Potter,TenuredRadical,1420301533,Early professionals believed that historians could make a unique contribution to public debate #AHA2015,2,1,FALSE
Denise D. Meringolo,DDMeringolo,1420301548,"Holden call her work community accountable scholarship. Chose tumblr, in part, because it is where young activists gather. #AHA2015",0,1,FALSE
